L,measured_intensity_trace
1.984496124031007724e-01,2.618380674341415637e-01
2.046511627906976716e-01,2.770913386803352529e-01
2.108527131782945707e-01,2.797185778171925596e-01
2.170542635658914699e-01,2.960134710000499880e-01
2.232558139534883690e-01,3.378224634918155500e-01
2.294573643410852681e-01,3.819154372010950538e-01
2.356589147286821673e-01,4.277081649153848808e-01
2.418604651162790664e-01,4.881177381527161963e-01
2.480620155038759655e-01,6.007427310761213057e-01
2.542635658914728647e-01,6.601948484081889834e-01
2.604651162790697638e-01,8.762397501349743489e-01
2.666666666666666630e-01,8.845478097653783900e-01
2.728682170542635621e-01,1.141240168396790766e+00
2.790697674418604612e-01,1.174010905538050542e+00
2.852713178294573604e-01,1.196379196109327081e+00
2.914728682170542595e-01,1.339828403535913592e+00
2.976744186046511587e-01,1.339828403535913592e+00
3.038759689922480578e-01,1.339828403535913592e+00
3.100775193798449569e-01,1.242402438379872631e+00
3.162790697674418561e-01,1.098964355716081753e+00
3.224806201550387552e-01,1.048315007865518345e+00
3.286821705426356544e-01,1.019052881421936396e+00
3.348837209302325535e-01,1.000000000000000000e+00
3.410852713178294526e-01,9.185752805548255129e-01
3.472868217054263518e-01,8.598569967363346445e-01
3.534883720930232509e-01,8.280046712286475152e-01
3.596899224806201500e-01,7.898433820141083084e-01
3.658914728682170492e-01,7.534408799720554439e-01
3.720930232558139483e-01,6.664544801669809448e-01
3.782945736434108475e-01,6.179930721303396046e-01
3.844961240310077466e-01,6.179930721303396046e-01
3.906976744186046457e-01,6.121886110964048777e-01
3.968992248062015449e-01,4.744926704335555856e-01
4.031007751937984440e-01,4.744926704335555856e-01
4.093023255813953432e-01,4.656212440825169829e-01
4.155038759689922423e-01,4.526241319388086826e-01
4.217054263565891414e-01,3.966072562751213892e-01
4.279069767441860406e-01,3.712548459377026933e-01
4.341085271317829397e-01,3.346494872657770903e-01
4.403100775193798389e-01,3.016533805623097808e-01
4.465116279069767380e-01,2.797185778171925596e-01
4.527131782945736371e-01,2.569425710948244346e-01
4.589147286821705363e-01,2.338042810564146257e-01
4.651162790697674354e-01,2.147668330663153602e-01
4.713178294573643345e-01,1.972795039377620019e-01
4.775193798449612337e-01,1.812160756773465442e-01
4.837209302325581328e-01,1.648971367768035379e-01
4.899224806201550320e-01,1.500477571625670470e-01
4.961240310077519311e-01,1.378301606322273609e-01
5.023255813953488857e-01,1.266073784716648665e-01
5.085271317829457294e-01,1.152060827206428523e-01
5.147286821705426840e-01,1.048315007865518178e-01
5.209302325581395277e-01,9.720865138588800913e-02
5.271317829457364823e-01,8.845478097653783345e-02
5.333333333333333259e-01,8.125237525193888810e-02
5.395348837209302806e-01,7.463642339279571991e-02
5.457364341085271242e-01,6.920921677018053442e-02
5.519379844961240789e-01,6.357387571164832551e-02
5.581395348837209225e-01,5.839739071778496382e-02
5.643410852713178771e-01,5.415100951086339320e-02
5.705426356589147208e-01,5.021340499983287936e-02
5.767441860465116754e-01,4.656212440825168580e-02
5.829457364341085190e-01,4.358572378647117967e-02
5.891472868217054737e-01,4.118642516334209552e-02
5.953488372093023173e-01,3.855365651236183216e-02
6.015503875968992720e-01,3.475230431402300674e-02
6.077519379844961156e-01,3.253082534408510695e-02
6.139534883720930702e-01,3.132576166276781343e-02
6.201550387596899139e-01,2.960134710000499395e-02
6.263565891472868685e-01,2.405179762532498600e-02
6.325581395348837122e-01,2.360210943299065681e-02
6.387596899224806668e-01,2.127496491040134496e-02
6.449612403100775104e-01,1.954265686136598401e-02
6.511627906976744651e-01,1.846687640789756654e-02
6.573643410852713087e-01,1.778279410038922925e-02
6.635658914728682634e-01,1.712405276517687397e-02
6.697674418604651070e-01,1.572973157300798508e-02
6.759689922480620616e-01,1.500477571625670296e-02
6.821705426356589053e-01,1.391369961110153208e-02
6.883720930232558599e-01,1.314778092444410761e-02
6.945736434108527035e-01,1.219173667068469864e-02
7.007751937984496582e-01,1.174010905538050605e-02
7.069767441860465018e-01,1.130521141943977882e-02
7.131782945736434565e-01,1.078417396929039554e-02
7.193798449612403001e-01,1.058254597567369164e-02
7.255813953488372547e-01,1.028715022524396595e-02
7.317829457364340984e-01,1.000000000000000021e-02
7.379844961240310530e-01,9.813033437525335925e-03
7.441860465116278966e-01,9.449521904263107758e-03
7.503875968992248513e-01,9.272847441516195860e-03
7.565891472868216949e-01,9.099476200466968118e-03
7.627906976744186496e-01,8.762397501349741130e-03
7.689922480620154932e-01,8.598569967363346028e-03
7.751937984496124479e-01,8.358553903745903971e-03
7.813953488372092915e-01,8.202276894681647876e-03
7.875968992248062461e-01,8.048921743135239656e-03
7.937984496124030898e-01,7.973322752256319437e-03
8.000000000000000444e-01,7.973322752256319437e-03
8.062015503875968880e-01,7.824248277607279839e-03
8.124031007751938427e-01,7.824248277607279839e-03
8.186046511627906863e-01,7.750759518112541012e-03
8.248062015503876410e-01,7.677960997166025266e-03
8.310077519379844846e-01,7.677960997166025266e-03
8.372093023255814392e-01,7.534408799720557388e-03
8.434108527131782829e-01,7.534408799720557388e-03
8.496124031007752375e-01,7.534408799720557388e-03
8.558139534883720811e-01,7.393540548364288534e-03
8.620155038759690358e-01,7.393540548364288534e-03
8.682170542635658794e-01,7.393540548364288534e-03
8.744186046511628341e-01,7.324097184108022129e-03
8.806201550387596777e-01,7.324097184108022129e-03
8.868217054263566324e-01,7.255306062279816282e-03
8.930232558139534760e-01,7.255306062279816282e-03
8.992248062015504306e-01,7.255306062279816282e-03
9.054263565891472743e-01,7.255306062279816282e-03
9.116279069767442289e-01,7.255306062279816282e-03
9.178294573643410725e-01,7.187161056733717621e-03
9.240310077519380272e-01,7.187161056733717621e-03
9.302325581395348708e-01,7.119656098863211269e-03
9.364341085271318255e-01,7.119656098863211269e-03
9.426356589147286691e-01,7.086141756967105111e-03
9.488372093023256237e-01,7.052785177060789425e-03
9.550387596899224674e-01,7.052785177060789425e-03
9.612403100775194220e-01,7.019585616511573624e-03
9.674418604651162656e-01,6.986542336182587944e-03
9.736434108527132203e-01,6.986542336182587944e-03
9.798449612403100639e-01,7.119656098863211269e-03
9.860465116279070186e-01,7.119656098863211269e-03
9.922480620155038622e-01,2.738419634264361441e-02
