L,parratt_trace,kinematic_trace
2.014354066985642455e-01,6.855917355764606924e-01,nan
2.030303030303026723e-01,6.791523583507206308e-01,nan
2.046251993620411269e-01,6.664544801669809448e-01,nan
2.062200956937795537e-01,6.539940098467147411e-01,nan
2.078149920255180083e-01,6.478514122711528378e-01,nan
2.094098883572564351e-01,6.357387571164831996e-01,nan
2.110047846889948620e-01,6.357387571164831996e-01,nan
2.125996810207333165e-01,6.357387571164831996e-01,nan
2.141945773524717433e-01,6.357387571164831996e-01,nan
2.157894736842101702e-01,6.297676208532171360e-01,nan
2.173843700159486247e-01,6.297676208532171360e-01,nan
2.189792663476870516e-01,6.297676208532171360e-01,nan
2.205741626794255061e-01,6.297676208532171360e-01,nan
2.221690590111639330e-01,6.297676208532171360e-01,nan
2.237639553429023598e-01,6.238525681114845955e-01,nan
2.253588516746408144e-01,6.179930721303396046e-01,nan
2.269537480063792412e-01,6.064386680974027666e-01,nan
2.285486443381176680e-01,6.007427310761213057e-01,nan
2.301435406698561226e-01,6.986542336182587944e-04,nan
2.317384370015945494e-01,8.929346421914826437e-07,nan
2.333333333333329762e-01,8.929346421914826437e-07,nan
2.349282296650714308e-01,8.929346421914826437e-07,nan
2.365231259968098576e-01,8.929346421914826437e-07,nan
2.381180223285483122e-01,8.929346421914826437e-07,nan
2.397129186602867390e-01,8.929346421914826437e-07,nan
2.413078149920251658e-01,8.929346421914826437e-07,nan
2.429027113237636204e-01,8.929346421914826437e-07,nan
2.444976076555020472e-01,8.680097234317461426e-07,nan
2.460925039872404740e-01,8.437805460463764546e-07,nan
2.476874003189789286e-01,8.358553903745894960e-07,nan
2.492822966507173554e-01,8.358553903745894960e-07,nan
2.508771929824558100e-01,8.358553903745894960e-07,nan
2.524720893141942368e-01,8.358553903745894960e-07,nan
2.540669856459326637e-01,8.358553903745894960e-07,nan
2.556618819776710905e-01,8.358553903745894960e-07,nan
2.572567783094095173e-01,9.014009942968718834e-07,nan
2.588516746411479996e-01,9.014009942968718834e-07,nan
2.604465709728864264e-01,9.014009942968718834e-07,nan
2.620414673046248533e-01,9.014009942968718834e-07,nan
2.636363636363632801e-01,9.014009942968718834e-07,nan
2.652312599681017069e-01,9.014009942968718834e-07,nan
2.668261562998401892e-01,9.014009942968718834e-07,nan
2.684210526315786161e-01,9.014009942968718834e-07,nan
2.700159489633170429e-01,9.014009942968718834e-07,nan
2.716108452950554697e-01,9.014009942968718834e-07,nan
2.732057416267938965e-01,9.014009942968718834e-07,nan
2.748006379585323233e-01,8.680097234317461426e-07,nan
2.763955342902708057e-01,8.358553903745894960e-07,nan
2.779904306220092325e-01,8.358553903745894960e-07,nan
2.795853269537476593e-01,8.358553903745894960e-07,nan
2.811802232854860861e-01,8.358553903745894960e-07,nan
2.827751196172245129e-01,8.358553903745894960e-07,nan
2.843700159489629953e-01,8.358553903745894960e-07,nan
2.859649122807014221e-01,8.358553903745894960e-07,nan
2.875598086124398489e-01,8.517808440132843476e-07,nan
2.891547049441782757e-01,8.680097234317461426e-07,nan
2.907496012759167026e-01,8.680097234317461426e-07,nan
2.923444976076551849e-01,8.762397501349740215e-07,nan
2.939393939393936117e-01,8.762397501349740215e-07,nan
2.955342902711320385e-01,8.845478097653788216e-07,nan
2.971291866028704654e-01,8.845478097653788216e-07,nan
2.987240829346088922e-01,8.845478097653788216e-07,nan
3.003189792663473190e-01,8.845478097653788216e-07,nan
3.019138755980858013e-01,8.845478097653788216e-07,nan
3.035087719298242281e-01,8.845478097653788216e-07,nan
3.051036682615626550e-01,8.845478097653788216e-07,nan
3.066985645933010818e-01,8.845478097653788216e-07,nan
3.082934609250395086e-01,8.845478097653788216e-07,nan
3.098883572567779909e-01,8.845478097653788216e-07,nan
3.114832535885164178e-01,8.845478097653788216e-07,nan
3.130781499202548446e-01,8.929346421914826437e-07,nan
3.146730462519932714e-01,9.099476200466958819e-07,nan
3.162679425837316982e-01,2.770913386803352529e-01,nan
3.178628389154701250e-01,2.770913386803352529e-01,nan
3.194577352472086074e-01,2.770913386803352529e-01,nan
3.210526315789470342e-01,2.770913386803352529e-01,nan
3.226475279106854610e-01,2.770913386803352529e-01,nan
3.242424242424238878e-01,5.068950296608012041e-04,nan
3.258373205741623146e-01,5.068950296608012041e-04,nan
3.274322169059007970e-01,5.021340499983290451e-04,nan
3.290271132376392238e-01,5.021340499983290451e-04,nan
3.306220095693776506e-01,5.021340499983290451e-04,nan
3.322169059011160774e-01,5.021340499983290451e-04,nan
3.338118022328545043e-01,5.021340499983290451e-04,nan
3.354066985645929311e-01,5.021340499983290451e-04,nan
3.370015948963314134e-01,2.382589262993236034e-01,nan
