m,branch,qz_center,gui_L,final_L,gui_background_density,final_data_density,pixel_count,delta_L,delta_density
1,-,0.7818531357153377,0.5130208333333333,0.5130208333333333,124.99426923911295,124.99426923911295,269.0,0.0,0.0
1,-,0.8028676296057566,0.5390625,0.5390625,147.57139631087136,147.57139631087136,268.0,0.0,0.0
1,-,0.8238821234961757,0.5651041666666665,0.5651041666666665,174.1283756584134,174.1283756584134,275.0,0.0,0.0
1,-,0.8448966173865948,0.5911458333333333,0.5911458333333333,202.5707332923191,202.5707332923191,270.0,0.0,0.0
1,-,0.8659111112770138,0.6171875,0.6171875,195.91183261464317,195.91183261464317,277.0,0.0,0.0
1,-,0.8869256051674329,0.6432291666666667,0.6432291666666667,184.02506698926098,184.02506698926098,279.0,0.0,0.0
1,-,0.907940099057852,0.6692708333333335,0.6692708333333335,175.46325179979553,175.46325179979553,273.0,0.0,0.0
1,-,0.928954592948271,0.6953125,0.6953125,166.25671611531925,166.25671611531925,282.0,0.0,0.0
1,-,0.94996908683869,0.7213541666666667,0.7213541666666667,163.2250786889512,163.2250786889512,281.0,0.0,0.0
1,-,0.9709835807291091,0.7473958333333335,0.7473958333333335,155.11799486274202,155.11799486274202,282.0,0.0,0.0
1,-,0.991998074619528,0.7734375,0.7734375,151.78020279782265,151.78020279782265,287.0,0.0,0.0
1,-,1.013012568509947,0.7994791666666665,0.7994791666666665,146.6272483129863,146.6272483129863,285.0,0.0,0.0
1,-,1.0340270624003662,0.8255208333333335,0.8255208333333335,146.93389253205575,146.93389253205575,288.0,0.0,0.0
1,-,1.055041556290785,0.8515625,0.8515625,148.3440396062297,148.3440396062297,289.0,0.0,0.0
1,-,1.076056050181204,0.8776041666666663,0.8776041666666663,149.67115737965818,149.67115737965818,294.0,0.0,0.0
1,-,1.0970705440716233,0.9036458333333335,0.9036458333333335,150.15955114284077,150.15955114284077,296.0,0.0,0.0
1,-,1.1180850379620422,0.9296874999999998,0.9296874999999998,152.91241714541718,152.91241714541718,295.0,0.0,0.0
1,-,1.139099531852461,0.9557291666666663,0.9557291666666663,153.31456459701795,153.31456459701795,298.0,0.0,0.0
1,-,1.1601140257428804,0.9817708333333335,0.9817708333333335,142.9447720035665,142.9447720035665,302.0,0.0,0.0
1,-,1.1811285196332992,1.0078124999999998,1.0078124999999998,134.53320308254328,134.53320308254328,303.0,0.0,0.0
1,-,1.2021430135237186,1.033854166666667,1.033854166666667,126.46851098538575,126.46851098538575,308.0,0.0,0.0
1,-,1.2231575074141374,1.0598958333333333,1.0598958333333333,124.05704292156257,124.05704292156257,306.0,0.0,0.0
1,-,1.2441720013045567,1.0859375000000004,1.0859375000000004,121.35819274586171,121.35819274586171,313.0,0.0,0.0
1,-,1.2651864951949756,1.1119791666666667,1.1119791666666667,117.91590695296699,117.91590695296699,311.0,0.0,0.0
1,-,1.2862009890853945,1.1380208333333333,1.1380208333333333,115.25260868155252,115.25260868155252,316.0,0.0,0.0
1,-,1.3072154829758138,1.1640625000000002,1.1640625000000002,113.23062081721187,113.23062081721187,319.0,0.0,0.0
1,-,1.3282299768662327,1.1901041666666667,1.1901041666666667,109.4980088614036,109.4980088614036,319.0,0.0,0.0
1,-,1.3492444707566515,1.2161458333333333,1.2161458333333333,106.13688471184307,106.13688471184307,326.0,0.0,0.0
1,-,1.3702589646470709,1.2421875000000002,1.2421875000000002,104.90687541234162,104.90687541234162,326.0,0.0,0.0
1,-,1.3912734585374897,1.2682291666666667,1.2682291666666667,103.8722628776918,103.8722628776918,331.0,0.0,0.0
1,-,1.4122879524279086,1.2942708333333333,1.2942708333333333,105.78253760623166,105.78253760623166,329.0,0.0,0.0
1,-,1.433302446318328,1.3203125000000002,1.3203125000000002,102.24814372005653,102.24814372005653,338.0,0.0,0.0
1,-,1.4543169402087468,1.3463541666666667,1.3463541666666667,99.69564086035695,99.69564086035695,338.0,0.0,0.0
1,-,1.4753314340991657,1.372395833333333,1.372395833333333,96.63924472506623,96.63924472506623,343.0,0.0,0.0
1,-,1.496345927989585,1.3984375000000002,1.3984375000000002,93.4916120738571,93.4916120738571,346.0,0.0,0.0
1,-,1.5173604218800039,1.4244791666666665,1.4244791666666665,91.72507138401825,91.72507138401825,347.0,0.0,0.0
1,-,1.5383749157704232,1.4505208333333337,1.4505208333333337,89.78551791428737,89.78551791428737,353.0,0.0,0.0
1,-,1.559389409660842,1.4765625,1.4765625,89.70517422159185,89.70517422159185,357.0,0.0,0.0
1,-,1.5804039035512611,1.5026041666666667,1.5026041666666667,90.46150876397817,90.46150876397817,358.0,0.0,0.0
1,-,1.6014183974416802,1.5286458333333335,1.5286458333333335,94.4496269927127,94.4496269927127,365.0,0.0,0.0
1,-,1.6224328913320991,1.5546875,1.5546875,98.96521177394824,98.96521177394824,367.0,0.0,0.0
1,-,1.6434473852225182,1.580729166666667,1.580729166666667,102.95005138191229,102.95005138191229,374.0,0.0,0.0
1,-,1.664461879112937,1.6067708333333335,1.6067708333333335,112.92730329019868,112.92730329019868,373.0,0.0,0.0
1,-,1.6854763730033562,1.6328125,1.6328125,124.45657025047117,124.45657025047117,378.0,0.0,0.0
1,-,1.7064908668937753,1.658854166666667,1.658854166666667,132.48488850169167,132.48488850169167,387.0,0.0,0.0
1,-,1.7275053607841941,1.684895833333333,1.684895833333333,131.09568864420424,131.09568864420424,386.0,0.0,0.0
1,-,1.7485198546746132,1.7109375,1.7109375,119.9129547463495,119.9129547463495,395.0,0.0,0.0
1,-,1.7695343485650323,1.7369791666666665,1.7369791666666665,106.9512551771528,106.9512551771528,397.0,0.0,0.0
1,-,1.7905488424554512,1.763020833333333,1.763020833333333,95.56520047923115,95.56520047923115,403.0,0.0,0.0
1,-,1.8115633363458703,1.7890625,1.7890625,87.72920984472265,87.72920984472265,412.0,0.0,0.0
1,-,1.8325778302362894,1.8151041666666665,1.8151041666666665,79.93092931335472,79.93092931335472,413.0,0.0,0.0
1,-,1.8535923241267085,1.8411458333333335,1.8411458333333335,74.7291093015363,74.7291093015363,417.0,0.0,0.0
1,-,1.8746068180171274,1.8671875,1.8671875,68.49498025503323,68.49498025503323,425.0,0.0,0.0
1,-,1.8956213119075467,1.893229166666667,1.893229166666667,66.85631650225251,66.85631650225251,428.0,0.0,0.0
1,-,1.9166358057979656,1.9192708333333335,1.9192708333333335,65.17630929895896,65.17630929895896,436.0,0.0,0.0
1,-,1.9376502996883846,1.9453125,1.9453125,65.17360172805103,65.17360172805103,442.0,0.0,0.0
1,-,1.9586647935788037,1.971354166666667,1.971354166666667,62.97919516919412,62.97919516919412,450.0,0.0,0.0
1,-,1.9796792874692228,1.9973958333333335,1.9973958333333335,62.530717390495234,62.530717390495234,450.0,0.0,0.0
1,-,2.000693781359642,2.0234375000000004,2.0234375000000004,61.21075609352327,61.21075609352327,462.0,0.0,0.0
1,-,2.0217082752500604,2.049479166666666,2.049479166666666,60.48709321710993,60.48709321710993,467.0,0.0,0.0
1,-,2.0427227691404797,2.0755208333333335,2.0755208333333335,60.006054725633085,60.006054725633085,477.0,0.0,0.0
1,-,2.063737263030899,2.1015625000000004,2.1015625000000004,58.54787254527557,58.54787254527557,482.0,0.0,0.0
1,-,2.084751756921318,2.127604166666667,2.127604166666667,58.23506572028952,58.23506572028952,490.0,0.0,0.0
1,-,2.1057662508117367,2.153645833333333,2.153645833333333,57.46852578146036,57.46852578146036,493.0,0.0,0.0
1,-,2.126780744702156,2.1796875000000004,2.1796875000000004,56.90119102429695,56.90119102429695,504.0,0.0,0.0
1,-,2.1477952385925754,2.2057291666666674,2.2057291666666674,55.962813345067595,55.962813345067595,513.0,0.0,0.0
1,-,2.1688097324829942,2.231770833333334,2.231770833333334,54.93624407122436,54.93624407122436,522.0,0.0,0.0
1,-,2.189824226373413,2.2578125,2.2578125,55.32032805718146,55.32032805718146,530.0,0.0,0.0
1,-,2.2108387202638324,2.2838541666666674,2.2838541666666674,54.74942266589543,54.74942266589543,539.0,0.0,0.0
1,-,2.2318532141542513,2.3098958333333335,2.3098958333333335,55.08891654972072,55.08891654972072,549.0,0.0,0.0
1,-,2.25286770804467,2.3359375,2.3359375,56.112239962269626,56.112239962269626,559.0,0.0,0.0
1,-,2.2738822019350895,2.361979166666667,2.361979166666667,56.87924547558849,56.87924547558849,565.0,0.0,0.0
1,-,2.2948966958255084,2.3880208333333335,2.3880208333333335,59.060212934744065,59.060212934744065,580.0,0.0,0.0
1,-,2.3159111897159272,2.4140625,2.4140625,57.02348618138498,57.02348618138498,591.0,0.0,0.0
1,-,2.3369256836063466,2.440104166666667,2.440104166666667,55.859008998346354,55.859008998346354,602.0,0.0,0.0
1,-,2.3579401774967654,2.4661458333333335,2.4661458333333335,53.198127906044235,53.198127906044235,613.0,0.0,0.0
1,-,2.3789546713871843,2.4921875,2.4921875,50.59442488309,50.59442488309,626.0,0.0,0.0
1,-,2.3999691652776036,2.518229166666667,2.518229166666667,49.760652460811805,49.760652460811805,639.0,0.0,0.0
1,-,2.4209836591680225,2.5442708333333335,2.5442708333333335,48.46662237830053,48.46662237830053,655.0,0.0,0.0
1,-,2.4419981530584414,2.5703125,2.5703125,46.89165685387794,46.89165685387794,662.0,0.0,0.0
1,-,2.4630126469488607,2.596354166666667,2.596354166666667,46.675440396213695,46.675440396213695,683.0,0.0,0.0
1,-,2.4840271408392796,2.6223958333333335,2.6223958333333335,46.172858659824826,46.172858659824826,692.0,0.0,0.0
1,-,2.5050416347296984,2.6484375,2.6484375,45.83131747305812,45.83131747305812,707.0,0.0,0.0
1,-,2.5260561286201177,2.674479166666667,2.674479166666667,46.56151409088587,46.56151409088587,724.0,0.0,0.0
1,-,2.5470706225105366,2.7005208333333335,2.7005208333333335,47.56609377502313,47.56609377502313,743.0,0.0,0.0
1,-,2.5680851164009555,2.7265625,2.7265625,47.959646010610435,47.959646010610435,762.0,0.0,0.0
1,-,2.589099610291375,2.752604166666667,2.752604166666667,48.15257654285074,48.15257654285074,780.0,0.0,0.0
1,-,2.6101141041817937,2.7786458333333335,2.7786458333333335,45.22115510578104,45.22115510578104,793.0,0.0,0.0
1,-,2.6311285980722126,2.8046875,2.8046875,41.986573023934994,41.986573023934994,814.0,0.0,0.0
1,-,2.652143091962632,2.830729166666667,2.830729166666667,37.46929028953517,37.46929028953517,837.0,0.0,0.0
1,-,2.6731575858530507,2.8567708333333335,2.8567708333333335,34.6572312458224,34.6572312458224,857.0,0.0,0.0
1,-,2.6941720797434696,2.8828125,2.8828125,31.12630627890386,31.12630627890386,884.0,0.0,0.0
1,-,2.715186573633889,2.908854166666667,2.908854166666667,29.88782322473565,29.88782322473565,902.0,0.0,0.0
1,-,2.736201067524308,2.9348958333333335,2.9348958333333335,28.326908969267034,28.326908969267034,927.0,0.0,0.0
1,-,2.7572155614147267,2.9609374999999996,2.9609374999999996,27.1458224463358,27.1458224463358,957.0,0.0,0.0
