sample_name,tilt_deg,theta_initial_deg_used_for_q,target_source_label,m,qr,qr_original,qr_fit_count,qr_fit_sample_count,qr_fit_method,branch,phi_window,hkl,l,fit_l,display_l,fit_two_theta_deg,fit_phi_deg,projected_two_theta_deg,projected_phi_deg,projected_qz_marker,refined_two_theta_deg,refined_phi_deg,qz_marker,marker_source,hk,l_axis_slope,l_axis_intercept
PbI2,4.0,4.0,primary,1,1.5806530407269872,1.5806530407269872,0.0,2.0,saved_q_group_rows_insufficient_detector_rotation_anchors,-,-,"-1,0,1",0.6257939469360012,0.6257939469360012,0.6257939469360012,26.44350921597954,-61.988649214383,26.178865582139128,-60.75,0.8891986276207038,26.497643547692494,-61.75,0.8728561401367188,local_peak_model_max,,1.2392240708942142,-0.45587039234923393
PbI2,4.0,4.0,primary,1,1.5806530407269872,1.5806530407269872,0.0,2.0,saved_q_group_rows_insufficient_detector_rotation_anchors,-,-,"0,-1,1",1.7085579786902785,1.7085579786902785,1.7085579786902785,32.74108573440243,-20.183870641137787,34.81121485417754,-40.75934416984805,1.7465996843312432,34.81121485417754,-40.75934416984805,1.7465996843312432,state_peak_record,,1.2392240708942142,-0.45587039234923393
PbI2,4.0,4.0,primary,1,1.5806530407269872,1.5806530407269872,0.0,2.0,saved_q_group_rows_insufficient_detector_rotation_anchors,-,-,"1,0,1",1.7085579786902785,1.7085579786902785,1.7085579786902785,32.81966692456579,-20.75,34.81121485417754,-40.75934416984805,1.7465996843312432,34.81121485417754,-40.75934416984805,1.7465996843312432,state_peak_record,,1.2392240708942142,-0.45587039234923393
PbI2,4.0,4.0,primary,1,1.5806530407269872,1.5806530407269872,0.0,2.0,saved_q_group_rows_insufficient_detector_rotation_anchors,-,-,"1,-1,2",1.7739152528330768,1.7739152528330768,1.7739152528330768,34.65438763554336,-27.25,35.443776880743854,-39.785440343531576,1.7993401657969048,35.443776880743854,-39.785440343531576,1.7993401657969048,state_peak_record,,1.2392240708942142,-0.45587039234923393
PbI2,4.0,4.0,primary,1,1.5806530407269872,1.5806530407269872,0.0,2.0,saved_q_group_rows_insufficient_detector_rotation_anchors,-,-,"0,1,2",1.816072851646707,1.816072851646707,1.816072851646707,34.850510858979014,-27.75,35.858524588068036,-39.25,1.8333595169407297,35.858524588068036,-39.25,1.8333595169407297,state_peak_record,,1.2392240708942142,-0.45587039234923393
PbI2,4.0,4.0,primary,1,1.5806530407269872,1.5806530407269872,0.0,2.0,saved_q_group_rows_insufficient_detector_rotation_anchors,-,-,"-1,0,2",2.522911461556174,2.522911461556174,2.522911461556174,44.24596362003579,-46.783560681259075,43.34333597928367,-29.75,2.403747573879793,43.34333597928367,-29.75,2.403747573879793,state_peak_record,,1.2392240708942142,-0.45587039234923393
PbI2,4.0,4.0,primary,1,1.5806530407269872,1.5806530407269872,0.0,2.0,saved_q_group_rows_insufficient_detector_rotation_anchors,-,-,"-1,0,3",2.9044157981736594,2.9044157981736594,2.9044157981736594,50.36617334384576,-57.25,47.73849423249255,-24.72247395993034,2.711605003038827,47.73849423249255,-24.72247395993034,2.711605003038827,state_peak_record,,1.2392240708942142,-0.45587039234923393
PbI2,4.0,4.0,primary,1,1.5806530407269872,1.5806530407269872,0.0,2.0,saved_q_group_rows_insufficient_detector_rotation_anchors,-,-,"-1,0,4",3.648332710164105,3.648332710164105,3.648332710164105,65.12888818119706,-80.75,56.884946385828584,-12.25,3.3119136392757276,56.884946385828584,-12.25,3.3119136392757276,state_peak_record,,1.2392240708942142,-0.45587039234923393
PbI2,4.0,4.0,primary,1,1.5806530407269872,1.5806530407269872,0.0,2.0,saved_q_group_rows_insufficient_detector_rotation_anchors,+,+,"-1,0,1",1.0,1.0,1.0,26.39837959665817,59.124384798261794,26.518010718809293,59.30804814767694,0.9328534679371405,26.37868667430218,59.25,0.9330708980560303,local_peak_model_max,,1.071729921148983,0.0
PbI2,4.0,4.0,primary,3,2.73777137567738,2.73777137567738,0.0,0.0,saved_q_group_rows_no_fit_points,-,-,"-1,-1,3",0.47365898467743395,0.47365898467743395,0.47365898467743395,38.28766137608641,-145.25,40.010700400010315,-81.75,0.43895091049245627,40.010700400010315,-81.75,0.43895091049245627,state_peak_record,,1.0790705141630506,0.0
PbI2,4.0,4.0,primary,3,2.73777137567738,2.73777137567738,0.0,0.0,saved_q_group_rows_no_fit_points,-,-,"-1,2,3",2.216054003400655,2.216054003400655,2.216054003400655,48.39804045468628,-22.25,51.49742591757135,-50.75,2.0536693147615774,51.49742591757135,-50.75,2.0536693147615774,state_peak_record,,1.0790705141630506,0.0
PbI2,4.0,4.0,primary,3,2.73777137567738,2.73777137567738,0.0,0.0,saved_q_group_rows_no_fit_points,-,-,"1,-2,3",2.216054003400655,2.216054003400655,2.216054003400655,48.46353825554892,-23.24999999744952,51.49742591757135,-50.75,2.0536693147615774,51.49742591757135,-50.75,2.0536693147615774,state_peak_record,,1.0790705141630506,0.0
PbI2,4.0,4.0,primary,3,2.73777137567738,2.73777137567738,0.0,0.0,saved_q_group_rows_no_fit_points,-,-,"-2,1,1",2.2419564188599104,2.2419564188599104,2.2419564188599104,48.773225942586464,-21.76128531971284,51.75620516820209,-50.280967809278025,2.077673691787249,51.75620516820209,-50.280967809278025,2.077673691787249,state_peak_record,,1.0790705141630506,0.0
PbI2,4.0,4.0,primary,3,2.73777137567738,2.73777137567738,0.0,0.0,saved_q_group_rows_no_fit_points,-,-,"1,1,3",2.2419564188599104,2.2419564188599104,2.2419564188599104,49.25521399773193,-22.75,51.75620516820209,-50.280967809278025,2.077673691787249,51.75620516820209,-50.280967809278025,2.077673691787249,state_peak_record,,1.0790705141630506,0.0
PbI2,4.0,4.0,primary,3,2.73777137567738,2.73777137567738,0.0,0.0,saved_q_group_rows_no_fit_points,-,-,"2,-1,3",2.2419564188599104,2.2419564188599104,2.2419564188599104,49.037974763278335,-20.25,51.75620516820209,-50.280967809278025,2.077673691787249,51.75620516820209,-50.280967809278025,2.077673691787249,state_peak_record,,1.0790705141630506,0.0
PbI2,4.0,4.0,primary,3,2.73777137567738,2.73777137567738,0.0,0.0,saved_q_group_rows_no_fit_points,-,-,"-2,1,2",2.7746863381737104,2.7746863381737104,2.7746863381737104,54.88920640786257,-36.75,55.575853907300555,-44.75,2.4187710341074995,56.59373251544199,-41.75,2.571367025375366,local_peak_model_max,,1.0790705141630506,0.0
PbI2,4.0,4.0,primary,3,2.73777137567738,2.73777137567738,0.0,0.0,saved_q_group_rows_no_fit_points,-,-,"-2,1,3",3.2318313645392216,3.2318313645392216,3.2318313645392216,63.27316095630814,-47.75,62.83685316653108,-35.73382725928826,2.995014062677727,62.83685316653108,-35.73382725928826,2.995014062677727,state_peak_record,,1.0790705141630506,0.0
PbI2,4.0,4.0,primary,4,3.1613060814539744,3.1613060814539744,0.0,0.0,saved_q_group_rows_no_fit_points,-,-,"0,2,4",0.5161104244555254,0.5161104244555254,0.5161104244555254,46.99705957432226,-147.40555041548433,46.45070069957886,-82.25,0.47829165720076344,46.45070069957886,-82.25,0.47829165720076344,state_peak_record,,1.0790705141630506,0.0
PbI2,4.0,4.0,primary,4,3.1613060814539744,3.1613060814539744,0.0,0.0,saved_q_group_rows_no_fit_points,-,-,"2,-2,1",0.5161104244555254,0.5161104244555254,0.5161104244555254,40.36110732162398,-164.75,46.45070069957886,-82.25,0.47829165720076344,46.45070069957886,-82.25,0.47829165720076344,state_peak_record,,1.0790705141630506,0.0
PbI2,4.0,4.0,primary,4,3.1613060814539744,3.1613060814539744,0.0,0.0,saved_q_group_rows_no_fit_points,-,-,"0,2,1",2.129533909705565,2.129533909705565,2.129533909705565,50.88462084129735,-10.75,56.239283510485016,-55.75,1.9734891110033488,56.239283510485016,-55.75,1.9734891110033488,state_peak_record,,1.0790705141630506,0.0
PbI2,4.0,4.0,primary,4,3.1613060814539744,3.1613060814539744,0.0,0.0,saved_q_group_rows_no_fit_points,-,-,"-2,0,1",2.2202929481130993,2.2202929481130993,2.2202929481130993,53.62290800927825,-19.25,57.06895695146971,-54.26588003886168,2.0575976444275326,57.06895695146971,-54.26588003886168,2.0575976444275326,state_peak_record,,1.0790705141630506,0.0
PbI2,4.0,4.0,primary,4,3.1613060814539744,3.1613060814539744,0.0,0.0,saved_q_group_rows_no_fit_points,-,-,"2,-2,4",2.2202929481130993,2.2202929481130993,2.2202929481130993,54.78666425435746,-24.25,57.06895695146971,-54.26588003886168,2.0575976444275326,57.06895695146971,-54.26588003886168,2.0575976444275326,state_peak_record,,1.0790705141630506,0.0
PbI2,4.0,4.0,primary,4,3.1613060814539744,3.1613060814539744,0.0,0.0,saved_q_group_rows_no_fit_points,-,-,"2,0,2",2.2202929481130993,2.2202929481130993,2.2202929481130993,52.683122458142925,-13.08148673412444,57.06895695146971,-54.26588003886168,2.0575976444275326,57.06895695146971,-54.26588003886168,2.0575976444275326,state_peak_record,,1.0790705141630506,0.0
PbI2,4.0,4.0,primary,4,3.1613060814539744,3.1613060814539744,0.0,0.0,saved_q_group_rows_no_fit_points,-,-,"-2,0,2",2.5651409929666973,2.5651409929666973,2.5651409929666973,59.357170423966046,-33.722029060177675,60.40035246393205,-49.25,2.3771764303617116,60.40035246393205,-49.25,2.3771764303617116,state_peak_record,,1.0790705141630506,0.0
