X,Gaussian,X,Lorentzian,X,Total
0,0.746454067833,0,0.34960930041,0,1.09606336824
0.025,0.746168325471,0.025,0.346880733694,0.025,1.09304905916
0.05,0.745311754509,0.05,0.338944732653,0.05,1.08425648716
0.075,0.743886320812,0.075,0.326495366127,0.075,1.07038168694
0.1,0.741895292466,0.1,0.310527517445,0.1,1.05242280991
0.125,0.739343227296,0.125,0.292156655638,0.125,1.03149988293
0.15,0.736235955478,0.15,0.272456204178,0.15,1.00869215966
0.175,0.732580557347,0.175,0.252346392804,0.175,0.984926950151
0.2,0.728385336519,0.2,0.232542047032,0.2,0.960927383552
0.225,0.723659788458,0.225,0.213548046576,0.225,0.937207835033
0.25,0.718414564669,0.25,0.195684193764,0.25,0.914098758433
0.275,0.712661432703,0.275,0.17912283724,0.275,0.891784269944
0.3,0.706413232173,0.3,0.163927824367,0.3,0.87034105654
0.325,0.699683827024,0.325,0.150088660953,0.325,0.849772487977
0.35,0.692488054303,0.35,0.137547618575,0.35,0.830035672878
0.375,0.684841669685,0.375,0.126219780775,0.375,0.81106145046
0.4,0.676761290047,0.4,0.11600705587,0.4,0.792768345917
0.425,0.668264333375,0.425,0.106807482334,0.425,0.775071815709
0.45,0.659368956306,0.45,0.0985210786953,0.45,0.757890035001
0.475,0.650093989625,0.475,0.0910532707428,0.475,0.741147260368
0.5,0.640458872037,0.5,0.0843166846626,0.5,0.7247755567
0.525,0.630483582525,0.525,0.0782318782145,0.525,0.70871546074
0.55,0.620188571643,0.55,0.0727274097647,0.55,0.692915981407
0.575,0.609594692055,0.575,0.0677395162582,0.575,0.677334208313
0.6,0.59872312866,0.6,0.0632115789882,0.6,0.661934707648
0.625,0.587595328623,0.625,0.0590934919163,0.625,0.646688820539
0.65,0.576232931628,0.65,0.0553410038008,0.65,0.631573935429
0.675,0.564657700679,0.675,0.0519150764703,0.675,0.616572777149
0.7,0.552891453735,0.7,0.0487812827472,0.7,0.601672736482
0.725,0.540955996494,0.725,0.0459092555192,0.725,0.586865252013
0.75,0.528873056592,0.75,0.043272192012,0.75,0.572145248604
0.775,0.516664219494,0.775,0.0408464128671,0.775,0.557510632362
0.8,0.504350866336,0.8,0.0386109731139,0.8,0.54296183945
0.825,0.49195411394,0.825,0.0365473208505,0.825,0.52850143479
0.85,0.479494757245,0.85,0.0346389989267,0.85,0.514133756172
0.875,0.466993214345,0.875,0.0328713848722,0.875,0.499864599217
